Total syscall: 295
[]: 0x122c 1
[]: 0x1254 1266d
[]: 0x1255 1266e
[]: 0x125b 6
[]: 0x1294 2
[]: 0x12ad 3
[]: 0x12c2 2
[]: 0x12d9 d1
[]: 0x13a3 1
[]: 0x13a6 2
[]: 0x13ac 4
[]: 0x13bc b
[]: 0x13d0 2
[]: 0x140c 2
[]: 0x140f 4
[]: 0x1417 10
[]: 0x1431 4
[]: 0x1432 3
[]: 0x1436 4
[]: 0x1437 1
[]: 0x1445 d
[]: 0x1453 176
[]: 0x1459 4
[]: 0x146c 23
[]: 0x146e 23
[]: 0x1498 8
[]: 0x14a4 2
[]: 0x14ac 75
[]: 0x14d6 1
[]: 0x150a b0
[]: 0x1512 5
[]: 0x1514 55
[]: 0x300f 1
[]: 0x1100c 4
[]: 0x11022 1
[]: 0x1103c 1c6
[]: 0x11183 1
[NtTestAlert]: 0x201c0 1c
[NtWorkerFactoryWorkerReady]: 0x30001 a
[NtClose]: 0x3000f 914
[NtClearEvent]: 0x3003e 37d82
[NtImpersonateAnonymousToken]: 0x300fc 1
[NtReleaseWorkerFactoryWorker]: 0x3016f 3dd71
[]: 0x3100a 6e
[]: 0x31023 e5
[]: 0x3103b 15
[]: 0x31051 2
[]: 0x31054 6c
[]: 0x31088 1
[]: 0x3109a 4
[]: 0x310e8 2
[]: 0x312a1 1
[NtAlertThreadByThreadId]: 0x40070 3bb0
[]: 0x41000 9
[]: 0x41016 176
[]: 0x4101a 7
[]: 0x41098 15
[NtQueryDefaultLocale]: 0x50015 12
[NtQueryPerformanceCounter]: 0x50031 21
[]: 0x51080 9
[]: 0x510b0 1
[]: 0x51101 1
[NtDelayExecution]: 0x60034 2d45
[NtWaitForAlertByThreadId]: 0x601d0 3bae
[NtSetEvent]: 0x7000e 37dcc
[NtReleaseMutant]: 0x70020 4896
[NtResumeThread]: 0x70052 1b
[NtTerminateThread]: 0x70053 11
[NtSuspendThread]: 0x701bc 19
[]: 0x7100b 13e
[]: 0x71010 518
[]: 0x7101b 5
[]: 0x71039 208
[]: 0x71046 a
[]: 0x7108c b
[]: 0x71092 5
[]: 0x710aa 2
[]: 0x710c1 2
[]: 0x710c8 4e
[]: 0x712d3 6
[]: 0x81035 11d
[]: 0x8103a 15
[]: 0x81057 3
[]: 0x812b3 3
[]: 0x814d5 2
[NtFindAtom]: 0xa0014 176
[NtQueryTimerResolution]: 0xa0162 1
[NtSetTimerResolution]: 0xa01b0 1
[]: 0xa10d1 9
[]: 0xb104b d
[NtReleaseSemaphore]: 0xc000a a
[NtFlushInstructionCache]: 0xc00e8 21
[]: 0xc1004 2
[]: 0xc101d 2a
[]: 0xc103f 49
[]: 0xc104d 3
[]: 0xc1073 2
[]: 0xc108f 8
[]: 0xc1488 2
[NtWaitForSingleObject]: 0xd0004 18c03
[]: 0xe1078 2
[]: 0x10102b 2
[]: 0x10102e 9
[]: 0x111081 1
[]: 0x111085 1
[]: 0x14107d 76
[]: 0x16102d 3
[]: 0x171086 1
[NtQuerySystemTime]: 0x18005a 1
[NtGetCurrentProcessorNumber]: 0x1900f3 402b
[NtReadFile]: 0x1a0006 a00
[NtWriteFile]: 0x1a0008 2568
[NtDeviceIoControlFile]: 0x1b0007 31e
[NtWaitForMultipleObjects]: 0x1d005b 3a1f
Enumerating calls by order z to a
[NtClose]: 0x3000f Arg: 61c
[NtDuplicateToken]: 0x42 Arg: c
[NtOpenProcessTokenEx]: 0x30 Arg: a
[NtOpenThreadTokenEx]: 0x2f Arg: fffffffe
[NtCallbackReturn]: 0x5 Arg: 19f400
[NtCallbackReturn]: 0x5 Arg: 19f400
[NtCallbackReturn]: 0x5 Arg: 19f400
[NtCallbackReturn]: 0x5 Arg: 19f400
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[]: 0x1512 Arg: 1
[NtCallbackReturn]: 0x5 Arg: 19f3b8
[NtCallbackReturn]: 0x5 Arg: 19f3b8
[]: 0x1007 Arg: 83
[]: 0x105b Arg: 1405ba
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[]: 0x1007 Arg: 81
[]: 0x105b Arg: 0
[]: 0x71092 Arg: 1405ba
[NtCallbackReturn]: 0x5 Arg: 19f420
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[NtCallbackReturn]: 0x5 Arg: 19f3b0
[]: 0x1007 Arg: 81
[NtCallbackReturn]: 0x5 Arg: 19f3e0
[NtCallbackReturn]: 0x5 Arg: 19f3e0
[NtCallbackReturn]: 0x5 Arg: 18
[]: 0x31023 Arg: 10
[]: 0x31023 Arg: 10
[]: 0x109e Arg: 6ec05ed
[]: 0x13bc Arg: 0
[]: 0x31023 Arg: 85000f
[]: 0x31023 Arg: 85000f
[]: 0x7100b Arg: e4010aaf
[]: 0x7100b Arg: 11010d16
[]: 0x1008 Arg: 0
[]: 0x7100b Arg: e4010aaf
[]: 0x7100b Arg: 11010d16
[]: 0x106b Arg: 10
[]: 0x1052 Arg: 18
[]: 0x31054 Arg: 11010d16
[]: 0x7100b Arg: 11010d16
[]: 0x107e Arg: 11010d16
[]: 0x1047 Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x14ac Arg: ab01095e
[]: 0x109c Arg: 10
[]: 0x3100a Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x107e Arg: 11010d16
[]: 0x1047 Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x14ac Arg: ab01095e
[]: 0xb104b Arg: 10
[]: 0x3100a Arg: 0
[NtQueryDefaultLocale]: 0x50015 Arg: 19ea30
[NtQueryDefaultLocale]: 0x50015 Arg: 19ea50
